RHO,SIGMA SQUARED
0.96,0.305425
0.962,0.306884
0.964,0.336785
0.966,0.339115
0.968,0.376423
0.97,0.37326
0.972,0.383931
0.974,0.378802
0.976,0.439457
0.978,0.420824
0.98,0.408737
0.982,0.452101
0.992,0.456233
1.002,0.494063
1.004,0.548802
1.006,0.520687
1.008,0.542826
1.01,0.550673
1.012,0.5317
1.014,0.564592
1.016,0.592514
1.018,0.535179
1.02,0.584088
1.022,0.57632
1.024,0.604054
1.026,0.579793
1.028,0.558111
1.03,0.611683
1.032,0.645206
1.034,0.63437
1.036,0.63768
1.038,0.680802
1.04,0.6505
1.042,0.629663
1.044,0.62836
1.046,0.641837
1.048,0.689019
1.05,0.673127
1.052,0.671727
1.054,0.680062
1.056,0.682128
1.058,0.693965
1.06,0.697315
1.062,0.681458
1.064,0.723994
1.066,0.754589
1.068,0.755187
1.07,0.719738
1.072,0.731255
1.074,0.74952
1.076,0.802141
1.078,0.757893
1.08,0.770268
1.082,0.814118
1.084,0.766558
1.086,0.808836
1.088,0.786952
1.09,0.775053
1.092,0.81995
1.094,0.802299
1.096,0.882738
1.098,0.824522
1.1,0.823465
1.102,0.783604
1.112,0.853617
1.122,0.927972
1.132,0.951318
1.142,0.941813
1.152,1.02427
1.162,1.05442
1.172,1.07057
1.182,1.10097
1.192,1.10576
1.202,1.10763
1.212,1.1477
1.222,1.18113
1.232,1.20388
1.242,1.20876
1.252,1.27173
1.262,1.31801
1.272,1.39716
1.282,1.37398
1.292,1.3418
1.302,1.42419
1.312,1.40832
1.322,1.38058
1.332,1.47177
1.342,1.57151
1.352,1.46593
1.362,1.53741
1.372,1.55401
1.382,1.71294
1.392,1.66339
