m,P(m),Unnamed: 2,exp_m,exp_m1,exp_m2
0,0.865501,,1.0,1.0,1.0
1,0.09952,,0.8409694041432851,0.8409694041432851,0.8269591339433623
2,0.021041,,0.7072295387051121,0.7072295387051121,0.6838614092123558
3,0.0071,,0.5947584037573684,0.5947584037573684,0.5655254386995371
4,0.00303,,0.5001736204170455,0.5001736204170455,0.46766642700990924
5,0.001439,,0.4206307115303124,0.42063071153031245,0.38674102345450123
6,0.000787,,0.3537375588400129,0.35373755884001296,0.31981902181630384
7,0.000487,,0.2974824640807859,0.29748246408078594,0.26447726129982396
8,0.000315,,0.2501736505610947,0.25017365056109475,0.21871188695221475
9,0.000187,,0.2103883858447142,0.21038838584471428,0.1808657926171221
10,0.000157,,0.1769301954824969,0.17693019548249692,0.14956861922263506
11,0.000116,,0.1487928810698703,0.14879288106987038,0.12368713581745483
12,9.5e-05,,0.1251302605340916,0.12513026053409163,0.10228420671553744
13,6.3e-05,,0.105230720641649,0.10523072064164904,0.08458485900156469
14,5.4e-05,,0.0884958164355761,0.0884958164355761,0.06994822174465536
15,2.5e-05,,0.0744222740169999,0.07442227401699995,0.057844320874838456
16,1.5e-05,,0.0625868554350647,0.06258685543506474,0.04783488949419837
17,3e-06,,0.0526336305224283,0.052633630522428324,0.039557498788398725
18,2e-06,,0.0442632728983443,0.04426327289834437,0.03271243493901982
19,4e-06,,0.0372240582347522,0.037224058234752284,0.027051846866350416
20,1.1e-05,,0.0313042940734745,0.03130429407347458,0.0223707718561656
21,1.4e-05,,0.026325953534096,0.026325953534096082,0.018499714119819242
22,6e-06,,0.0221393214570725,0.022139321457072595,0.015298507566725518
23,1.1e-05,,0.0186184919738909,0.018618491973890986,0.012651240568005305
24,7e-06,,0.0156575821013296,0.015657582101329646,0.010462058943426795
25,7e-06,,0.0131675474900797,0.013167547490079751,0.008651695203120634
26,1e-06,,0.0110735045667607,0.011073504566760782,0.007154598372314579
27,1e-06,,0.0093124785372867,0.009312478537286758,0.005916560473681857
28,0.0,,0.0078315095265991,0.00783150952659918,0.004892753725239476
29,0.0,,0.0065860599001265,0.00658605990012657,0.004046107383222199
30,0.0,,0.0055386748698614,0.005538674869861427,0.003345965457471272
31,0.0,,0.0046578561050507,0.0046578561050507495,0.002766976696914851
32,0.0,,0.0039171144732496,0.003917114473249693,0.0022881766529221693
33,0.0,,0.0032941734245298,0.003294173424529834,0.001892228583209938
34,0.0,,0.0027702990619714,0.002770299061971498,0.0015647957103941666
35,0.0,,0.0023297367514448,0.0023297367514448736,0.001294022105465848
36,0.0,,0.0019592373276733,0.0019592373276733073,0.0010701033996396044
37,0.0,,0.0016476586480287,0.001647658648028704,0.0008849317805958146
38,0.0,,0.0013856305114642,0.0013856305114642294,0.0007318024188804728
39,0.0,,0.0011652728655888,0.0011652728655888289,0.0006051706945350532
40,0.0,,0.0009799588274385,0.0009799588274385753,0.0005004514334406108
